Config,r_N,eta,Function,Dimension,Run,Best
rn10_eta0.2,10.0,0.2,F10,10,6,0.0
rn10_eta0.2,10.0,0.2,F10,10,7,3.701428610430071
rn10_eta0.2,10.0,0.2,F10,10,8,0.0
rn10_eta0.2,10.0,0.2,F10,10,9,0.0
rn10_eta0.2,10.0,0.2,F10,30,0,0.9949590570932968
rn10_eta0.2,10.0,0.2,F10,30,1,0.0
rn10_eta0.2,10.0,0.2,F10,30,2,1.9899181141867075
rn10_eta0.2,10.0,0.2,F10,30,3,0.9949590570932968
rn10_eta0.2,10.0,0.2,F10,30,4,1.9899181141867075
rn10_eta0.2,10.0,0.2,F10,30,5,0.9949590570934106
rn10_eta0.2,10.0,0.2,F10,30,6,1.9899181141865936
rn10_eta0.2,10.0,0.2,F10,30,7,0.9949590570932968
rn10_eta0.2,10.0,0.2,F10,30,8,0.0
rn10_eta0.2,10.0,0.2,F10,30,9,3.979836228373188
rn10_eta0.2,10.0,0.2,F11,10,0,0.0
rn10_eta0.2,10.0,0.2,F11,10,1,0.0
rn10_eta0.2,10.0,0.2,F11,10,2,0.2081429846455194
rn10_eta0.2,10.0,0.2,F11,10,3,0.0
rn10_eta0.2,10.0,0.2,F11,10,4,109.88050492509753
rn10_eta0.2,10.0,0.2,F11,10,5,218.39770832970223
rn10_eta0.2,10.0,0.2,F11,10,6,0.2081429846455194
rn10_eta0.2,10.0,0.2,F11,10,7,0.0
rn10_eta0.2,10.0,0.2,F11,10,8,0.0
rn10_eta0.2,10.0,0.2,F11,10,9,0.2081429846455194
rn10_eta0.2,10.0,0.2,F11,30,0,420.1647549768379
rn10_eta0.2,10.0,0.2,F11,30,1,0.0
rn10_eta0.2,10.0,0.2,F11,30,2,0.0
rn10_eta0.2,10.0,0.2,F11,30,3,0.0693932123849663
rn10_eta0.2,10.0,0.2,F11,30,4,0.0
rn10_eta0.2,10.0,0.2,F11,30,5,0.0
rn10_eta0.2,10.0,0.2,F11,30,6,0.0
rn10_eta0.2,10.0,0.2,F11,30,7,0.0
rn10_eta0.2,10.0,0.2,F11,30,8,0.0693932123849663
rn10_eta0.2,10.0,0.2,F11,30,9,0.0
rn10_eta0.2,10.0,0.2,F15,10,0,0.5520272137705433
rn10_eta0.2,10.0,0.2,F15,10,1,233.9036100706876
