Alg,Function,Dim,Run,Best
A: pop6 (2-bosqich g'olibi),Schwefel,30,5,236.87705105586974
A: pop6 (2-bosqich g'olibi),Schwefel,30,6,118.43871644142746
A: pop6 (2-bosqich g'olibi),Schwefel,30,7,236.87705105586792
A: pop6 (2-bosqich g'olibi),Schwefel,30,8,118.43871644142746
A: pop6 (2-bosqich g'olibi),Schwefel,30,9,236.87705105586247
A: pop6 (2-bosqich g'olibi),Schwefel,30,10,236.8770510558661
A: pop6 (2-bosqich g'olibi),Schwefel,30,11,118.43871644142746
A: pop6 (2-bosqich g'olibi),Schwefel,30,12,118.43871644142746
A: pop6 (2-bosqich g'olibi),Schwefel,30,13,0.00038182699063327163
A: pop6 (2-bosqich g'olibi),Schwefel,30,14,0.00038182698881428223
A: pop6 (2-bosqich g'olibi),Zakharov,30,0,9.342247467801303e-16
A: pop6 (2-bosqich g'olibi),Zakharov,30,1,3.936696122887161e-15
A: pop6 (2-bosqich g'olibi),Zakharov,30,2,7.516241567928085e-16
A: pop6 (2-bosqich g'olibi),Zakharov,30,3,1.1439878912543295e-16
A: pop6 (2-bosqich g'olibi),Zakharov,30,4,1.5584045100696162e-16
A: pop6 (2-bosqich g'olibi),Zakharov,30,5,3.413162939478561e-16
A: pop6 (2-bosqich g'olibi),Zakharov,30,6,1.2200075529719859e-15
A: pop6 (2-bosqich g'olibi),Zakharov,30,7,1.3010142209267041e-16
A: pop6 (2-bosqich g'olibi),Zakharov,30,8,2.493569498250022e-16
A: pop6 (2-bosqich g'olibi),Zakharov,30,9,4.269919402601087e-15
A: pop6 (2-bosqich g'olibi),Zakharov,30,10,4.6560419575048545e-15
A: pop6 (2-bosqich g'olibi),Zakharov,30,11,1.6729632539903678e-16
A: pop6 (2-bosqich g'olibi),Zakharov,30,12,6.222718284726631e-15
A: pop6 (2-bosqich g'olibi),Zakharov,30,13,9.08863730357144e-16
A: pop6 (2-bosqich g'olibi),Zakharov,30,14,3.2013582434430993e-15
B: A + L-SHADE xotira,Ackley,30,0,7.549516567451064e-15
B: A + L-SHADE xotira,Ackley,30,1,7.549516567451064e-15
