Config,Function,Dim,Run,Best
-eigen crossover,Schwefel,50,9,5132.465007489816
-eigen crossover,Schwefel,50,10,3671.6844648078877
-eigen crossover,Schwefel,100,0,10522.211540747943
-eigen crossover,Schwefel,100,1,11903.49550950377
-eigen crossover,Schwefel,100,2,16266.381750240405
-eigen crossover,Schwefel,100,3,15004.007753450805
-eigen crossover,Schwefel,100,4,7461.67890737066
-eigen crossover,Schwefel,100,5,11569.061333581038
-eigen crossover,Schwefel,100,6,15931.628969504414
-eigen crossover,Schwefel,100,7,8626.504689591435
-eigen crossover,Schwefel,100,8,8132.924084465281
-eigen crossover,Schwefel,100,9,7759.311118243961
-eigen crossover,Schwefel,100,10,12713.279457218337
-eigen crossover,NoisyRastrigin,50,0,46.79311466697178
-eigen crossover,NoisyRastrigin,50,1,53.75578723273579
-eigen crossover,NoisyRastrigin,50,2,46.79132563273941
-eigen crossover,NoisyRastrigin,50,3,49.79784713033139
-eigen crossover,NoisyRastrigin,50,4,72.6518321494865
-eigen crossover,NoisyRastrigin,50,5,60.723687551654635
-eigen crossover,NoisyRastrigin,50,6,60.73072378125241
-eigen crossover,NoisyRastrigin,50,7,44.79295970193205
-eigen crossover,NoisyRastrigin,50,8,33.86157715596705
-eigen crossover,NoisyRastrigin,50,9,61.72910391179163
-eigen crossover,NoisyRastrigin,50,10,57.738384470789505
-eigen crossover,NoisyRastrigin,100,0,120.48230992685286
-eigen crossover,NoisyRastrigin,100,1,126.47230965285806
-eigen crossover,NoisyRastrigin,100,2,101.64927708528555
-eigen crossover,NoisyRastrigin,100,3,111.49909001364497
-eigen crossover,NoisyRastrigin,100,4,107.58510912000355
-eigen crossover,NoisyRastrigin,100,5,102.54282459371605
-eigen crossover,NoisyRastrigin,100,6,122.46426656991511
-eigen crossover,NoisyRastrigin,100,7,140.3601991827803
-eigen crossover,NoisyRastrigin,100,8,128.43533372779052
-eigen crossover,NoisyRastrigin,100,9,112.6352368257784
-eigen crossover,NoisyRastrigin,100,10,136.3837699467984
ops=uniform (AOS yo'q),Schwefel,30,0,1914.8834134705921
ops=uniform (AOS yo'q),Schwefel,30,1,2270.1176858319104
ops=uniform (AOS yo'q),Schwefel,30,2,1598.9287763443244
ops=uniform (AOS yo'q),Schwefel,30,3,1579.1917765060207
ops=uniform (AOS yo'q),Schwefel,30,4,1756.8384012052575
ops=uniform (AOS yo'q),Schwefel,30,5,1934.528534794179
ops=uniform (AOS yo'q),Schwefel,30,6,2270.0820749242357
ops=uniform (AOS yo'q),Schwefel,30,7,3632.1884561351035
ops=uniform (AOS yo'q),Schwefel,30,8,1283.085062747503
ops=uniform (AOS yo'q),Schwefel,30,9,1756.8384012052575
ops=uniform (AOS yo'q),Schwefel,30,10,2112.175159493416
ops=uniform (AOS yo'q),Schwefel,50,0,7640.07575836949
ops=uniform (AOS yo'q),Schwefel,50,1,4994.322574514637
ops=uniform (AOS yo'q),Schwefel,50,2,6770.975615783089
ops=uniform (AOS yo'q),Schwefel,50,3,4520.498244549857
ops=uniform (AOS yo'q),Schwefel,50,4,5764.312825583411
ops=uniform (AOS yo'q),Schwefel,50,5,4046.770981651687
ops=uniform (AOS yo'q),Schwefel,50,6,3513.6984295796938
ops=uniform (AOS yo'q),Schwefel,50,7,5883.138502115089
ops=uniform (AOS yo'q),Schwefel,50,8,5606.404812407101
ops=uniform (AOS yo'q),Schwefel,50,9,6159.041754320697
ops=uniform (AOS yo'q),Schwefel,50,10,5053.459333471808
ops=uniform (AOS yo'q),Schwefel,100,0,6612.832765771716
ops=uniform (AOS yo'q),Schwefel,100,1,15970.314968504303
ops=uniform (AOS yo'q),Schwefel,100,2,11370.572175617432
ops=uniform (AOS yo'q),Schwefel,100,3,16602.01765921853
ops=uniform (AOS yo'q),Schwefel,100,4,9376.55652015403
ops=uniform (AOS yo'q),Schwefel,100,5,7797.256911375669
ops=uniform (AOS yo'q),Schwefel,100,6,18142.15558683614
ops=uniform (AOS yo'q),Schwefel,100,7,13288.12455813953
ops=uniform (AOS yo'q),Schwefel,100,8,12811.719841753984
ops=uniform (AOS yo'q),Schwefel,100,9,12320.973263038133
ops=uniform (AOS yo'q),Schwefel,100,10,12002.39011097584
ops=uniform (AOS yo'q),NoisyRastrigin,50,0,59.735923444987336
ops=uniform (AOS yo'q),NoisyRastrigin,50,1,65.6979261113282
ops=uniform (AOS yo'q),NoisyRastrigin,50,2,44.803299547854756
ops=uniform (AOS yo'q),NoisyRastrigin,50,3,57.74422953951249
ops=uniform (AOS yo'q),NoisyRastrigin,50,4,61.716450165993145
ops=uniform (AOS yo'q),NoisyRastrigin,50,5,40.835548081845
ops=uniform (AOS yo'q),NoisyRastrigin,50,6,47.78937952580411
ops=uniform (AOS yo'q),NoisyRastrigin,50,7,52.77213444542624
ops=uniform (AOS yo'q),NoisyRastrigin,50,8,55.75423854237011
ops=uniform (AOS yo'q),NoisyRastrigin,50,9,46.81232586997352
ops=uniform (AOS yo'q),NoisyRastrigin,50,10,37.83304130875283
ops=uniform (AOS yo'q),NoisyRastrigin,100,0,168.21496884804188
ops=uniform (AOS yo'q),NoisyRastrigin,100,1,171.20435407871068
ops=uniform (AOS yo'q),NoisyRastrigin,100,2,180.15573261775484
ops=uniform (AOS yo'q),NoisyRastrigin,100,3,160.26431221817245
ops=uniform (AOS yo'q),NoisyRastrigin,100,4,139.36814077379472
ops=uniform (AOS yo'q),NoisyRastrigin,100,5,129.4159124443411
ops=uniform (AOS yo'q),NoisyRastrigin,100,6,142.3257973293486
ops=uniform (AOS yo'q),NoisyRastrigin,100,7,111.5113115366896
ops=uniform (AOS yo'q),NoisyRastrigin,100,8,121.4628645993912
ops=uniform (AOS yo'q),NoisyRastrigin,100,9,137.35751523272856
ops=uniform (AOS yo'q),NoisyRastrigin,100,10,125.44781498110814
ops=faqat pbest-DE,Schwefel,30,0,118.44104845486618
ops=faqat pbest-DE,Schwefel,30,1,118.43871644145656
ops=faqat pbest-DE,Schwefel,30,2,0.0003818281929852674
ops=faqat pbest-DE,Schwefel,30,3,118.43871644144201
ops=faqat pbest-DE,Schwefel,30,4,0.00038203748044907115
ops=faqat pbest-DE,Schwefel,30,5,0.0003818270215560915
ops=faqat pbest-DE,Schwefel,30,6,118.43871644152387
ops=faqat pbest-DE,Schwefel,30,7,0.00038182700336619746
ops=faqat pbest-DE,Schwefel,30,8,0.00038188677353900857
ops=faqat pbest-DE,Schwefel,30,9,0.0003824614850600483
ops=faqat pbest-DE,Schwefel,30,10,0.0003818270306510385
ops=faqat pbest-DE,Schwefel,50,0,963.5981164288169
ops=faqat pbest-DE,Schwefel,50,1,221.06314052566086
ops=faqat pbest-DE,Schwefel,50,2,623.0295409161408
ops=faqat pbest-DE,Schwefel,50,3,1077.2537791672949
ops=faqat pbest-DE,Schwefel,50,4,639.9769289433752
ops=faqat pbest-DE,Schwefel,50,5,745.5415397610777
ops=faqat pbest-DE,Schwefel,50,6,1012.9977516950603
ops=faqat pbest-DE,Schwefel,50,7,249.7630047964194
ops=faqat pbest-DE,Schwefel,50,8,698.795887337692
ops=faqat pbest-DE,Schwefel,50,9,871.6184817919311
ops=faqat pbest-DE,Schwefel,50,10,860.7710017471181
ops=faqat pbest-DE,Schwefel,100,0,6122.199424199527
ops=faqat pbest-DE,Schwefel,100,1,7528.536925397209
ops=faqat pbest-DE,Schwefel,100,2,7760.299187424724
ops=faqat pbest-DE,Schwefel,100,3,7969.576145047118
ops=faqat pbest-DE,Schwefel,100,4,7252.462356780154
ops=faqat pbest-DE,Schwefel,100,5,5468.512023582378
ops=faqat pbest-DE,Schwefel,100,6,6939.566999513794
ops=faqat pbest-DE,Schwefel,100,7,7931.577533283984
ops=faqat pbest-DE,Schwefel,100,8,7422.523194975518
ops=faqat pbest-DE,Schwefel,100,9,7005.771290449666
ops=faqat pbest-DE,Schwefel,100,10,7616.03039566736
ops=faqat pbest-DE,NoisyRastrigin,50,0,29.73339906249069
ops=faqat pbest-DE,NoisyRastrigin,50,1,32.29119637965194
ops=faqat pbest-DE,NoisyRastrigin,50,2,28.002388653281606
ops=faqat pbest-DE,NoisyRastrigin,50,3,32.218670686930665
ops=faqat pbest-DE,NoisyRastrigin,50,4,39.11059746888292
ops=faqat pbest-DE,NoisyRastrigin,50,5,40.08997355242837
ops=faqat pbest-DE,NoisyRastrigin,50,6,44.93490444505972
ops=faqat pbest-DE,NoisyRastrigin,50,7,39.46654222999128
ops=faqat pbest-DE,NoisyRastrigin,50,8,40.978692765492326
ops=faqat pbest-DE,NoisyRastrigin,50,9,42.50586159240801
ops=faqat pbest-DE,NoisyRastrigin,50,10,32.950265872378566
ops=faqat pbest-DE,NoisyRastrigin,100,0,143.52802990837725
ops=faqat pbest-DE,NoisyRastrigin,100,1,156.26173244126818
ops=faqat pbest-DE,NoisyRastrigin,100,2,174.06850664987908
ops=faqat pbest-DE,NoisyRastrigin,100,3,144.5181455259301
ops=faqat pbest-DE,NoisyRastrigin,100,4,122.51366668284706
ops=faqat pbest-DE,NoisyRastrigin,100,5,164.50959799025878
ops=faqat pbest-DE,NoisyRastrigin,100,6,120.00283408495183
ops=faqat pbest-DE,NoisyRastrigin,100,7,178.3407864229474
ops=faqat pbest-DE,NoisyRastrigin,100,8,165.61336407258148
ops=faqat pbest-DE,NoisyRastrigin,100,9,146.50644888196194
ops=faqat pbest-DE,NoisyRastrigin,100,10,145.0139801053491
pop 18*D (L-SHADE),Schwefel,30,0,1539.6987318146876
pop 18*D (L-SHADE),Schwefel,30,1,1717.367110958763
pop 18*D (L-SHADE),Schwefel,30,2,1756.8384012052575
pop 18*D (L-SHADE),Schwefel,30,3,1717.367110958765
pop 18*D (L-SHADE),Schwefel,30,4,2250.3477845160432
pop 18*D (L-SHADE),Schwefel,30,5,1717.367110958765
pop 18*D (L-SHADE),Schwefel,30,6,1717.3671109587667
pop 18*D (L-SHADE),Schwefel,30,7,1539.698731814684
pop 18*D (L-SHADE),Schwefel,30,8,1539.698731814684
pop 18*D (L-SHADE),Schwefel,30,9,1539.698731814684
pop 18*D (L-SHADE),Schwefel,30,10,1756.8384012052575
pop 18*D (L-SHADE),Schwefel,50,0,5981.386692018888
pop 18*D (L-SHADE),Schwefel,50,1,8034.4932231133735
pop 18*D (L-SHADE),Schwefel,50,2,3612.454420278289
pop 18*D (L-SHADE),Schwefel,50,3,4816.76263977825
pop 18*D (L-SHADE),Schwefel,50,4,4856.281760029193
pop 18*D (L-SHADE),Schwefel,50,5,5922.178401934085
pop 18*D (L-SHADE),Schwefel,50,6,5014.032091735629
pop 18*D (L-SHADE),Schwefel,50,7,7639.7452236799145
pop 18*D (L-SHADE),Schwefel,50,8,5823.544481797693
pop 18*D (L-SHADE),Schwefel,50,9,5369.502067618665
pop 18*D (L-SHADE),Schwefel,50,10,4619.16667784882
pop 18*D (L-SHADE),Schwefel,100,0,12695.213127093983
pop 18*D (L-SHADE),Schwefel,100,1,6652.304056018729
pop 18*D (L-SHADE),Schwefel,100,2,13149.242912859401
pop 18*D (L-SHADE),Schwefel,100,3,10028.25637810403
pop 18*D (L-SHADE),Schwefel,100,4,13561.836403208748
pop 18*D (L-SHADE),Schwefel,100,5,6691.775346265145
pop 18*D (L-SHADE),Schwefel,100,6,11331.099813313318
pop 18*D (L-SHADE),Schwefel,100,7,7698.531112725534
pop 18*D (L-SHADE),Schwefel,100,8,8685.789390047656
pop 18*D (L-SHADE),Schwefel,100,9,10839.664192501416
pop 18*D (L-SHADE),Schwefel,100,10,7224.780483697083
pop 18*D (L-SHADE),NoisyRastrigin,50,0,40.95541947545736
pop 18*D (L-SHADE),NoisyRastrigin,50,1,56.78614163128614
pop 18*D (L-SHADE),NoisyRastrigin,50,2,69.69048435497044
pop 18*D (L-SHADE),NoisyRastrigin,50,3,60.753993296812375
pop 18*D (L-SHADE),NoisyRastrigin,50,4,42.84947068977992
pop 18*D (L-SHADE),NoisyRastrigin,50,5,57.81462213745397
pop 18*D (L-SHADE),NoisyRastrigin,50,6,52.854588985233065
pop 18*D (L-SHADE),NoisyRastrigin,50,7,48.83134137683578
pop 18*D (L-SHADE),NoisyRastrigin,50,8,61.78756777873287
pop 18*D (L-SHADE),NoisyRastrigin,50,9,66.7479494472908
pop 18*D (L-SHADE),NoisyRastrigin,50,10,50.818790525645355
pop 18*D (L-SHADE),NoisyRastrigin,100,0,133.619903026224
pop 18*D (L-SHADE),NoisyRastrigin,100,1,138.49568973668573
pop 18*D (L-SHADE),NoisyRastrigin,100,2,112.3066677085381
pop 18*D (L-SHADE),NoisyRastrigin,100,3,121.66113921900617
pop 18*D (L-SHADE),NoisyRastrigin,100,4,135.62188188848765
pop 18*D (L-SHADE),NoisyRastrigin,100,5,145.5640585717627
pop 18*D (L-SHADE),NoisyRastrigin,100,6,120.73286939949462
pop 18*D (L-SHADE),NoisyRastrigin,100,7,119.9010313320188
pop 18*D (L-SHADE),NoisyRastrigin,100,8,112.70903199498223
pop 18*D (L-SHADE),NoisyRastrigin,100,9,120.84620576751075
pop 18*D (L-SHADE),NoisyRastrigin,100,10,135.66013611807344
N_min=20,Schwefel,30,0,3730.9199829586923
N_min=20,Schwefel,30,1,2645.188734528261
N_min=20,Schwefel,30,2,1717.367110958765
N_min=20,Schwefel,30,3,2052.9780164413387
N_min=20,Schwefel,30,4,2033.2081151254697
N_min=20,Schwefel,30,5,2625.418833212394
N_min=20,Schwefel,30,6,2625.46559115279
N_min=20,Schwefel,30,7,3454.5529784685896
N_min=20,Schwefel,30,8,2210.8764942695507
N_min=20,Schwefel,30,9,1895.0354901028404
N_min=20,Schwefel,30,10,1717.367110958763
N_min=20,Schwefel,50,0,3791.5990594749055
N_min=20,Schwefel,50,1,5665.954784214235
N_min=20,Schwefel,50,2,8212.28909167982
N_min=20,Schwefel,50,3,6790.986639480907
N_min=20,Schwefel,50,4,3355.767050273913
N_min=20,Schwefel,50,5,6139.54587686434
N_min=20,Schwefel,50,6,8014.723321797483
N_min=20,Schwefel,50,7,6692.208354716919
N_min=20,Schwefel,50,8,6652.644113891683
N_min=20,Schwefel,50,9,5330.446364658499
N_min=20,Schwefel,50,10,6495.195736512005
N_min=20,Schwefel,100,0,6831.489494674461
N_min=20,Schwefel,100,1,10366.520236715332
N_min=20,Schwefel,100,2,7816.991201783858
N_min=20,Schwefel,100,3,12279.18765696061
N_min=20,Schwefel,100,4,17945.657503573322
N_min=20,Schwefel,100,5,13661.217813781586
N_min=20,Schwefel,100,6,9279.383391922769
N_min=20,Schwefel,100,7,10442.630428164113
N_min=20,Schwefel,100,8,14232.979317506637
N_min=20,Schwefel,100,9,13424.825244224303
N_min=20,Schwefel,100,10,9003.228724824934
N_min=20,NoisyRastrigin,50,0,72.64806258878882
N_min=20,NoisyRastrigin,50,1,40.81251430151198
N_min=20,NoisyRastrigin,50,2,65.69782978536976
N_min=20,NoisyRastrigin,50,3,75.6579011415456
