Algorithm,Function,Dimension,Run,Best
cmu-population,F8,10,17,0.126157627268185
cmu-population,F8,10,18,0.1535784906400294
cmu-population,F8,10,19,20.22499501411812
cmu-population,F8,10,20,0.2538410858001043
cmu-population,F8,10,21,0.1846447409138818
cmu-population,F8,10,22,0.1379339661748417
cmu-population,F8,10,23,0.0781674255285906
cmu-population,F8,10,24,0.2137872939447334
cmu-population,F8,10,25,20.248817666215476
cmu-population,F8,10,26,0.1879501728785726
cmu-population,F8,10,27,0.0454729768193828
cmu-population,F8,10,28,0.080290193784549
cmu-population,F8,10,29,20.1737467771477
cmu-population,F4,20,0,14.0
cmu-population,F4,20,1,10.0
cmu-population,F4,20,2,12.0
cmu-population,F4,20,3,14.0
cmu-population,F4,20,4,14.0
cmu-population,F4,20,5,16.0
cmu-population,F4,20,6,14.0
cmu-population,F4,20,7,12.0
cmu-population,F4,20,8,16.0
