Config,r_N,eta,Function,Dimension,Run,Best
rn10_eta0.2,10.0,0.2,F3,10,4,0.0
rn10_eta0.2,10.0,0.2,F3,10,5,3.986579112347158
rn10_eta0.2,10.0,0.2,F3,10,6,3.986579112347158
rn10_eta0.2,10.0,0.2,F3,10,7,3.986579112347158
rn10_eta0.2,10.0,0.2,F3,10,8,3.986579112347158
rn10_eta0.2,10.0,0.2,F3,10,9,0.0
rn10_eta0.2,10.0,0.2,F3,30,0,31.810711664704968
rn10_eta0.2,10.0,0.2,F3,30,1,31.810711664704968
rn10_eta0.2,10.0,0.2,F3,30,2,31.810711664704968
rn10_eta0.2,10.0,0.2,F3,30,3,31.810711664704968
rn10_eta0.2,10.0,0.2,F3,30,4,31.810711664704968
rn10_eta0.2,10.0,0.2,F3,30,5,31.810711664704968
rn10_eta0.2,10.0,0.2,F3,30,6,31.810711664704968
rn10_eta0.2,10.0,0.2,F3,30,7,31.810711664704968
rn10_eta0.2,10.0,0.2,F3,30,8,31.810711664704968
rn10_eta0.2,10.0,0.2,F3,30,9,31.810711664704968
rn10_eta0.2,10.0,0.2,F4,10,0,0.9949590570932968
rn10_eta0.2,10.0,0.2,F4,10,1,0.0
rn10_eta0.2,10.0,0.2,F4,10,2,2.9848779984527027
rn10_eta0.2,10.0,0.2,F4,10,3,0.9949590570932968
rn10_eta0.2,10.0,0.2,F4,10,4,0.9949590570932968
rn10_eta0.2,10.0,0.2,F4,10,5,2.984886912725983
rn10_eta0.2,10.0,0.2,F4,10,6,1.989933978983231
rn10_eta0.2,10.0,0.2,F4,10,7,2.984880969741596
rn10_eta0.2,10.0,0.2,F4,10,8,0.9949590570932968
rn10_eta0.2,10.0,0.2,F4,10,9,1.9899181141865936
rn10_eta0.2,10.0,0.2,F4,30,0,6.96472620917848
rn10_eta0.2,10.0,0.2,F4,30,1,9.94960013511792
rn10_eta0.2,10.0,0.2,F4,30,2,10.944552535817252
rn10_eta0.2,10.0,0.2,F4,30,3,8.954654872467358
rn10_eta0.2,10.0,0.2,F4,30,4,7.960804809404692
rn10_eta0.2,10.0,0.2,F4,30,5,7.960001190254445
rn10_eta0.2,10.0,0.2,F4,30,6,9.949590571979115
rn10_eta0.2,10.0,0.2,F4,30,7,6.967115158991305
rn10_eta0.2,10.0,0.2,F4,30,8,10.94988272247815
rn10_eta0.2,10.0,0.2,F4,30,9,6.964752210021516
rn10_eta0.2,10.0,0.2,F5,10,0,0.0
rn10_eta0.2,10.0,0.2,F5,10,1,0.0
rn10_eta0.2,10.0,0.2,F5,10,2,0.0
rn10_eta0.2,10.0,0.2,F5,10,3,0.0
rn10_eta0.2,10.0,0.2,F5,10,4,0.0
rn10_eta0.2,10.0,0.2,F5,10,5,0.0
rn10_eta0.2,10.0,0.2,F5,10,6,0.0
rn10_eta0.2,10.0,0.2,F5,10,7,0.0
rn10_eta0.2,10.0,0.2,F5,10,8,0.0
rn10_eta0.2,10.0,0.2,F5,10,9,0.0
rn10_eta0.2,10.0,0.2,F5,30,0,0.0
rn10_eta0.2,10.0,0.2,F5,30,1,0.0
rn10_eta0.2,10.0,0.2,F5,30,2,0.0
rn10_eta0.2,10.0,0.2,F5,30,3,0.0
rn10_eta0.2,10.0,0.2,F5,30,4,0.0
rn10_eta0.2,10.0,0.2,F5,30,5,0.0
rn10_eta0.2,10.0,0.2,F5,30,6,6.408140507119242e-08
rn10_eta0.2,10.0,0.2,F5,30,7,0.0
rn10_eta0.2,10.0,0.2,F5,30,8,1.24507323562284e-07
rn10_eta0.2,10.0,0.2,F5,30,9,0.0
rn10_eta0.2,10.0,0.2,F6,10,0,12.963319585580392
rn10_eta0.2,10.0,0.2,F6,10,1,12.63506598263723
rn10_eta0.2,10.0,0.2,F6,10,2,11.529501604041798
rn10_eta0.2,10.0,0.2,F6,10,3,14.232591830151591
rn10_eta0.2,10.0,0.2,F6,10,4,13.90492224790728
