Function,Dimension,Algorithm,best,worst,mean,std,median,iqr
Rosenbrock,30,LSHADE,16.818140382187885,21.856772275764335,18.470951072145365,1.4821999342113148,18.273869412717147,1.8279620328152077
Rosenbrock,30,DE,23.241596117782965,165.87001796074756,64.02765104990088,50.742532623286735,28.264413384837223,75.27882334439386
Rosenbrock,30,HHO,389.7045998834716,6404.324038716943,1901.0399152274797,1751.1412900555092,1199.229874888731,1595.1478380067006
Rosenbrock,30,SCA,4161.630453228798,40146.208710082705,11957.814812271905,10226.39225752787,8765.856665564272,9179.152509444613
Rosenbrock,30,PSO,2352.2805878982153,19170639.73809675,1993439.3776418495,5465262.734830168,95481.18211409067,621013.1315191227
Rosenbrock,30,PSO_orig,4187734.6263380423,62084216.07200955,26741057.002668753,19116341.629336353,20077557.153572045,22125652.18774069
Rosenbrock,30,GWO,15568325.430469178,49360301.08316816,25321227.998423338,10085756.59883852,20799292.831073202,9776547.05663041
Rosenbrock,30,WOA,6921229.324495965,69617717.16791911,39269329.83381929,17936433.168235727,37004030.42170844,13247131.984792471
Rosenbrock,30,HHO_orig,36047589.32440158,114643797.84516561,64105662.936872624,22595404.49788845,59417405.8574411,26309466.07148151
RotatedElliptic,30,TEMOA_V11,5.5744871996317436,3189.8858339157364,385.53812294281147,915.9715727114864,26.747149520459985,151.12342173987216
RotatedElliptic,30,jSO,40.24422295864609,11806.761137553263,1828.2239916461292,3273.3501201470963,547.0526978380627,1652.375050809865
RotatedElliptic,30,LSHADE,22.240430425511537,27680.857772962143,3736.6147708302783,7662.309997141527,1840.3996125987944,2119.73891891361
RotatedElliptic,30,TEMOA_V10,4761.523335893093,52928.423220706754,24475.067121857854,17856.029883811,23465.424515322426,28440.44698916196
RotatedElliptic,30,DE,1972955.7698800801,6778360.041310113,3521277.3854458593,1265802.158819175,3355560.3253353722,985636.5040486078
RotatedElliptic,30,PSO,2110097.1012538243,294566876.3615404,30829838.07084767,83175765.2392495,5433844.756967004,8224477.420707938
RotatedElliptic,30,HHO,4418741.6664278135,12986792.883771874,9016108.174649807,2880860.86777416,9458893.38359977,4689794.702760484
RotatedElliptic,30,SCA,6142030.382717374,18244532.072227675,11533525.823250376,4220009.77917206,9822213.12054256,6996417.4110473
RotatedElliptic,30,GWO,54146483.80117224,168152065.55005535,93729151.7711879,35381554.31920971,85792049.78657395,53473743.718083635
RotatedElliptic,30,PSO_orig,56751807.321664974,317242568.78327876,145145196.74383798,78264971.5877153,120375960.580803,104845004.71331759
RotatedElliptic,30,HHO_orig,49191481.63168547,619745451.191819,192786883.8616052,163260254.04949173,135503606.21771133,97112865.46600814
RotatedElliptic,30,WOA,79410343.11741534,390349646.4127214,206771433.79738244,82064097.01358071,182403840.50802088,92628209.74030769
Schwefel,30,LSHADE,0.008219863899284974,0.7831512076099898,0.13176621342048142,0.2268776833602348,0.030835542407658068,0.09593338364902593
Schwefel,30,jSO,0.14648366316396277,49.525793829865506,9.355769604293073,13.591949031057219,5.428597936582264,7.72099282817544
Schwefel,30,TEMOA_V11,0.05570918282683124,710.63000768663,227.05689652066926,239.2811051293177,118.44330184139835,207.1651588837135
Schwefel,30,DE,1315.029870821174,3093.26259410887,2040.9730300116553,499.87628698658165,1925.8304799245298,662.4926966608368
Schwefel,30,TEMOA_V10,1756.8380193782687,3731.0030420438106,2436.266966715972,580.3609329339655,2398.3898823458912,750.1495680764938
Schwefel,30,PSO,2238.17665539685,5378.493936847913,3675.424937829181,793.0993302783163,3676.9717822773036,624.1236189763954
Schwefel,30,PSO_orig,2025.5881645427762,5847.063272301885,4284.172871942036,1126.3498044050846,4233.282547129105,1490.7193343875938
Schwefel,30,HHO,2659.0545697408725,5908.394795927657,4831.58924378404,883.086257438528,5104.125399522914,720.0627180309575
Schwefel,30,SCA,5868.757853462827,7081.708143867902,6447.375341910155,326.3217359778287,6509.299297619096,404.9874646551061
